company,report_year,report_type,project_name,subprojects,description,mine,partners,stage,years,project_value_company,project_value_partners,category,location,location_accuracy,pages,project_id,duplicate,lat1,long1
DRD,2015,Social,"Palesa Primary School administration building construction, Soweto",[],"Construction of an administration building at Palesa Primary School, handed over on 29 May 2015.",,,Completed,2015,"682500, ZAR, invested in 2015",,Infrastructure: Education,"Palesa Primary School, Soweto, , ",Building,2,DRD2015-4,False,-26.20814,27.87762
DRD,2015,Social,"Buhlebemfundo Secondary School security doors installation, Tsakane",[],"Supplied, constructed and installed wooden and steel security doors at Buhlebemfundo Secondary School.",,,Completed,2015,"123244, ZAR, invested in 2015",,Infrastructure: Education,"Buhlebemfundo Secondary School, Tsakane, , ",Building,2,DRD2015-5,False,-26.3568386,28.356891
DRD,2015,Social,"Geluksdal Primary School classroom painting, Geluksdal",[],Classrooms painted at Geluksdal Primary School.,,,Completed,2015,"131971, ZAR, invested in 2015",,Infrastructure: Education,"Geluksdal Primary School, Geluksdal, , ",Building,2,DRD2015-6,False,-26.3388,28.36637
DRD,2015,Social,"Funukukhanya Primary School classroom tiling, Geluksdal",[],Classrooms tiled at Funukukhanya Primary School.,,,Completed,2015,"98000, ZAR, invested in 2015",,Infrastructure: Education,"Funukukhanya Primary School, Geluksdal, , ",Building,2,DRD2015-7,False,-26.3514544,28.3637431
DRD,2015,Social,"Enterprise Development Club, Geluksdal",[],Developing small business initiatives in the community.,,,Operating,2015,"273385, ZAR, invested in 2015",,Business Hubs,", Geluksdal, , ",Village/Town,2,DRD2015-8,False,-26.3459184,28.3613587
DRD,2015,Social,"Crown logistics employee transport co-operative, Ekurhuleni and Johannesburg",[],Established employee transport co-operative to provide nightshift transport.,Crown,,Operating,2015,"3670850, ZAR, invested in 2015",,Alternative Livelihood/Employment Programmes,", Ekurhuleni, , . , Johannesburg, , ",Municipality.Municipality,2,DRD2015-9,False,-26.2165243,28.1645838
DRD,2015,Social,"Maths science and accountancy programme, Ekurhuleni and Johannesburg",[],Classes offered at seven schools; quarterly workshops for educators. Learners and educators are given support on challenging components of the syllabus.,,,Operating,2015,"587747, ZAR, invested in 2015",,Community Training: School,", Ekurhuleni, , . , Johannesburg, , ",Municipality.Municipality,2,DRD2015-10,False,-26.2165243,28.1645838
DRD,2015,Social,"Community ABET-18.2 basic educational support, Ekurhuleni and Johannesburg",[],"Community members receive basic educational support to qualify for further study, e.g. technical courses.",,,Operating,2015,"2079079, ZAR, invested in 2015",,Community Training: Post-School,", Ekurhuleni, , . , Johannesburg, , ",Municipality.Municipality,2,DRD2015-11,False,-26.2165243,28.1645838
DRD,2015,Social,"N courses (N1 and N2) for community members, Ekurhuleni and Johannesburg",[],Community members improve prospects of qualifying for learnerships through N1 and N2 courses.,,,Operating,2015,"297300, ZAR, invested in 2015",,Community Training: Post-School,", Ekurhuleni, , . , Johannesburg, , ",Municipality.Municipality,2,DRD2015-12,False,-26.2165243,28.1645838
DRD,2015,Social,"Learnerships for community members to become artisans, Ekurhuleni and Johannesburg",[],Opportunities for community members to become artisans through learnerships.,,,Operating,2015,"1207721, ZAR, invested in 2015",,Community Training: Post-School,", Ekurhuleni, , . , Johannesburg, , ",Municipality.Municipality,2,DRD2011-1,True,-26.2165243,28.1645838
DRD,2015,Social,"Bursaries for mining-related studies, Gauteng",[],Bursaries for study towards mining-related disciplines.,,,Operating,2015,"714739, ZAR, invested in 2015",,Bursaries,", , , Gauteng",District/Province/Region,2,DRD2015-14,False,-26.2707593,28.1122679
DRD,2015,Social,"Nigel football sponsorship, Tsakane/Nigel",[],Purchase of trophies for football sponsorship.,,,Completed,2015,"865, ZAR, invested in 2015",,Other (Financial Support),", Tsakane, , . , Nigel, , ",Village/Town.Village/Town,3,DRD2015-15,False,-26.3713839,28.3754131
DRD,2015,Social,"Kasi sports advisor donation, Tsakane",[],Donation to local sports magazine.,,,Completed,2015,"17752, ZAR, invested in 2015",,Other (Financial Support),", Tsakane, , ",Village/Town,3,DRD2015-16,False,-26.3713839,28.3754131
DRD,2015,Social,"Ramaphosa Combined School tuition fees donation, Ramaphosa",[],Donation towards tuition fees at Ramaphosa Combined School.,,,Completed,2015,"30000, ZAR, invested in 2015",,Other (Financial Support),"Ramaphosa Combined School, Ramaphosa, , ",Building,3,DRD2015-17,False,-26.233996,28.204133
DRD,2015,Social,"Donation of blankets and children’s tracksuits and jackets, Soweto, Ramaphosa and Tsakane",[],Distribution of blankets and children's tracksuits and jackets to communities and charities.,,,Completed,2015,"351688, ZAR, invested in 2015",,Other (Financial Support),", Soweto, , . , Ramaphosa, , . , Tsakane, , ",Village/Town.Village/Town.Village/Town,3,DRD2015-18,False,-26.2485377,27.8540323
DRD,2015,Social,"702 CEO sleep out donation, Boys/Girls Town",[],Donation to Boys and Girls Town as part of the 702 CEO sleep out.,,,Completed,2015,"100000, ZAR, invested in 2015",,Other (Financial Support),", , , Boys/Girls Town",District/Province/Region,3,DRD2015-19,False,,
DRD,2015,Social,Christian youth job creation project,[],Creation of jobs for the youth through a Christian youth job creation project.,,,Completed,2015,"50000, ZAR, invested in 2015",,Alternative Livelihood/Employment Programmes,,,3,DRD2015-20,False,,
DRD,2015,Social,Alexander youth crisis centre bi-annual community event support,[],Bi-annual support of community events at Alexander youth crisis centre.,,,Completed,2015,"97294, ZAR, invested in 2015",,Other (Financial Support),,,3,DRD2015-21,False,,
DRD,2015,Social,"MES golf day and MES concert contributions, Johannesburg",[],Contributions used for Johannesburg street kids and adults.,,,Completed,2015,"38500, ZAR, invested in 2015",,Other (Financial Support),", Johannesburg, , ",Municipality,3,DRD2015-22,False,-26.205647,28.0337185
DRD,2015,Social,Open Door golf day donations to crisis centre,[],Donations to crisis centre for counselling services and social support.,,,Completed,2015,"6000, ZAR, invested in 2015",,Other (Financial Support),,,3,DRD2015-23,False,,
DRD,2015,Social,"Bed race, Midrand Round table",[],Participation in bed race event organised by Midrand Round Table.,,,Completed,2015,"13500, ZAR, invested in 2015",,Other (Financial Support),", Midrand, , ",Village/Town,3,DRD2015-24,False,-25.9819021,28.1329403
DRD,2015,Social,"Entrepreneurship programme with Lepharo, East Rand","Three-year part-time entrepreneurship programme, East Rand; Business coaching and support for graduates, East Rand","A three-year part-time entrepreneurship programme in partnership with Lepharo, offering basic guidelines for small business start-up and business coaching and support for graduates.",,Lepharo,Operating.Operating,2015,,,Business Hubs.Business Hubs,", , , East Rand. , , , East Rand",District/Province/Region.District/Province/Region,4,DRD2015-25,False,,
DRD,2015,Social,"EBDA Enterprise Club programme, East Rand","Small business basics training, East Rand; Simulations of business-related issues, East Rand; Presentations by local entrepreneurs, East Rand; Outside visits (e.g. JSE tour), East Rand; Two-year coaching and support post-programme, East Rand","Programme to promote small business development among learners and school leavers, including business basics training, simulations, presentations by local entrepreneurs, outside visits, and two years of coaching and support.",,,Operating.Operating.Operating.Operating.Operating,2015,,,Business Hubs.Business Hubs.Business Hubs.Business Hubs.Business Hubs,", , , East Rand. , , , East Rand. , , , East Rand. , , , East Rand. , , , East Rand",District/Province/Region.District/Province/Region.District/Province/Region.District/Province/Region.District/Province/Region,4,DRD2015-26,False,,
DRD,2015,Social,"Maths, science and accounting support at Tsakane Secondary School, East Rand",[],"Maths, science and accounting support provided to students and teachers at Tsakane Secondary School.",,,Operating,2015,,,Community Training: School,"Tsakane Secondary School, , , East Rand",Building,"4,5",DRD2015-27,False,-26.3574102,28.3829729
DRD,2015,Social,"Maths, science and accounting support at Tlakula High School, East Rand",[],"Maths, science and accounting support provided to students and teachers at Tlakula High School.",,,Operating,2015,,,Community Training: School,"Tlakula High School, , , East Rand",Building,"4,5",DRD2015-28,False,-26.2954373,28.3942882
DRD,2015,Social,"Maths, science and accounting support at Langaville Secondary School, East Rand",[],"Maths, science and accounting support provided to students and teachers at Langaville Secondary School.",,,Operating,2015,,,Community Training: School,"Langaville Secondary School, , , East Rand",Building,"4,5",DRD2015-29,False,-26.3146753,28.3901078
DRD,2015,Social,"Accounting support at Nkambula High School (until June 2014), East Rand",[],Accounting support provided to students and teachers at Nkambula High School until June 2014.,,,Completed,,,,Community Training: School,"Nkambula High School, , , East Rand",Building,"4,5",DRD2015-30,False,,
DRD,2015,Social,"Maths and science support at Namedi High School, West Rand",[],Maths and science support provided to students and teachers at Namedi High School.,,,Operating,2015,,,Community Training: School,"Namedi High School, , , West Rand",Building,"4,5",DRD2015-31,False,-26.3213939,27.4556388
DRD,2015,Social,"Maths, science and accounting support at Madibane High School, West Rand",[],"Maths, science and accounting support provided to students and teachers at Madibane High School.",,,Operating,2015,,,Community Training: School,"Madibane High School, , , West Rand",Building,"4,5",DRD2015-32,False,-26.3213939,27.4556388
DRD,2015,Social,"Maths, science and accounting support at Fons Luminus, West Rand",[],"Maths, science and accounting support provided to students and teachers at Fons Luminus.",,,Operating,2015,,,Community Training: School,"Fons Luminus, , , West Rand",Building,"4,5",,,-26.3213939,27.4556388
DRD,2018-22,SLPErgo,"Broad-Based Livelihoods Programme, East Rand","BBL Horticulture component, East Rand; Learning Groups with hands-on learning sessions, East Rand; Support networks (peer to peer support groups / circles of friends / network circles), East Rand; Ongoing monitoring and mentoring of participants, East Rand","A poverty alleviation programme that delivers a person or household the opportunity to maximise participation in the economy by providing access to food security, income generation, and business skills. Includes horticulture for household nutrition, learning groups, support networks, and ongoing mentoring.",ERGO,,Operating.Operating.Operating.Operating,"2018,2019,2020,2021,2022","1800000, ZAR, invested together with Project 2 & 3 (2018); 1400000, ZAR, invested together with Project 2 & 3 (2019); 1400000, ZAR, invested together with Project 2 & 3 (2020); 1400000, ZAR, invested together with Project 2 & 3 (2021); 1000000, ZAR, invested together with Project 2 & 3 (2022)",,Alternative Livelihood/Employment Programmes.Alternative Livelihood/Employment Programmes.Alternative Livelihood/Employment Programmes.Alternative Livelihood/Employment Programmes,", , Ekurhuleni, East Rand. , , , East Rand",Municipality.District/Province/Region,"73,74,75,81,82,83",DRD2018-22-1,False,,
DRD,2018-22,SLPErgo,"Entrepreneurship Programme, East Rand","Entrepreneurship Development workshops, East Rand; Support networks (peer to peer support groups, business network circles), East Rand; Ongoing monitoring and mentoring of participants, East Rand","A programme to encourage and strengthen multitudes of informal and formal businesses through training, workshops, business tools, and support networks, aiming to improve profitability and sustainability of small businesses.",ERGO,,Operating.Operating.Operating,"2018,2019,2020,2021,2022","1600000, ZAR, invested together with Project 1 & 3 (2018); 1400000, ZAR, invested together with Project 1 & 3 (2019); 1200000, ZAR, invested together with Project 1 & 3 (2020); 1000000, ZAR, invested together with Project 1 & 3 (2021); 500000, ZAR, invested together with Project 1 & 3 (2022)",,Business Hubs.Business Hubs.Business Hubs,", , Ekurhuleni, East Rand. , , , East Rand",Municipality.District/Province/Region,"84,85,86",DRD2015-25,True,,
DRD,2018-22,SLPErgo,"COJ Broad-Based Personal and Career Development Programme, City of Johannesburg, Region D, F","Personal and Career Development workshops, City of Johannesburg, Region D, F; Support network establishment (peer to peer support groups, network circles), City of Johannesburg, Region D, F; Ongoing monitoring and mentoring of participants, City of Johannesburg, Region D, F","A programme to support youth and unemployed young adults in personal and career development, including workshops, career planning, and support networks to improve employability and life skills.",ERGO,,Operating.Operating.Operating,"2018,2019,2020,2021,2022","1800000, ZAR, invested together with Project 1 & 2 (2018); 1400000, ZAR, invested together with Project 1 & 2 (2019); 1400000, ZAR, invested together with Project 1 & 2 (2020); 1400000, ZAR, invested together with Project 1 & 2 (2021); 1000000, ZAR, invested together with Project 1 & 2 (2022)",,Community Training: Post-School.Community Training: Post-School.Community Training: Post-School,", , City of Johannesburg, Region D. , , City of Johannesburg, Region F",Municipality.Municipality,"78,79,80",DRD2018-22-3,False,-26.1915788,28.0133877
DRD,2018-22,SLPErgo,"Infrastructure investment for ERGO communities, East Rand",,"Provision of equipment or a building construction/upgrade, as needed by a local school or clinic within the ERGO communities, in close cooperation with the Ekurhuleni Municipality.",ERGO,Ekurhuleni Municipality,Planned,"2018,2019,2020,2021,2022","3000000, ZAR, projected (2018)",,Infrastructure: Education,", , Ekurhuleni, East Rand",Municipality,87,DRD2018-22-4,False,,
DRD,2019,IR,"Crown Complex vegetation programme, Crown Complex","Establishment of new side slope vegetation on the Crown tailings dam, Crown Complex; Irrigation until vegetation is established and self-sustainable, Crown Complex",A programme to establish new side slope vegetation on the Crown tailings dam and irrigate until the vegetation is established and self-sustainable.,Crown Complex,A consortium of nine local companies,Operating,2019,,,Alternative Livelihood/Employment Programmes.Alternative Livelihood/Employment Programmes,", Langlaagte, City of Johannesburg, Gauteng. , Diepkloof, City of Johannesburg, Gauteng. , Meadowlands, City of Johannesburg, Gauteng. , Orlando West, City of Johannesburg, Gauteng. , Orlando East, City of Johannesburg, Gauteng. , Riverlea, City of Johannesburg, Gauteng. , Pennyville, City of Johannesburg, Gauteng. , Ormonde, City of Johannesburg, Gauteng",Village/Town.Village/Town.Village/Town.Village/Town.Village/Town.Village/Town.Village/Town.Village/Town,49,DRD2019-1,False,-26.2026186,27.8765626
DRD,2019,IR,"Vegetation rehabilitation, Soweto and Geluksdal",[],Vegetation rehabilitation project providing local youth employment in Soweto and Geluksdal.,,,Operating,"2019, 2018","2688825, ZAR, invested in 2019; 2518065, ZAR, invested in 2018",,Alternative Livelihood/Employment Programmes,", Soweto, , Gauteng. , Geluksdal, , Gauteng",Village/Town.Village/Town,49,DRD2015-2,True,-26.3459184,28.3613587
DRD,2019,IR,"Crown Complex Consortium, Crown Complex",[],Local community development initiative around the Crown Complex.,Crown Complex,,Operating,"2019, 2018","3695070, ZAR, invested in 2019; 2137856, ZAR, invested in 2018",,Alternative Livelihood/Employment Programmes,", Crown Complex, , ",Building,49,DRD2019-3,False,,
DRD,2019,IR,"Broad-based Livelihoods Programme, Tsakane, Soweto and Merafong","Empowering individuals, households, existing micro-farmers and co-operatives to produce vegetables and crops at their homes, Tsakane, Soweto and Merafong; Training sessions on low-cost organic crop production methodology, Tsakane, Soweto and Merafong","Programme empowering individuals, households, micro-farmers and co-operatives to produce vegetables and crops at home for food security and economic participation, including training on low-cost organic crop production.",,,Operating.Operating,"2019, 2018","3700180, ZAR, invested in 2019; 1570000, ZAR, invested in 2018",,Alternative Livelihood/Employment Programmes.Community Training: Post-School,", Tsakane, , Gauteng. , Soweto, , Gauteng. , Merafong, Carletonville, Gauteng",Village/Town.Village/Town.Village/Town,"49, 50, 51",DRD2018-22-1,True,-26.3742568,27.4064372
DRD,2019,IR,"Maths, science and accountancy teaching programmes, Supported schools",[],"Teaching programmes in maths, science and accountancy at supported schools to improve educational outcomes and university entrance rates.",,,Operating,"2019, 2018","1187482, ZAR, invested in 2019; 1111751, ZAR, invested in 2018",,Community Training: School,", , , ",District/Province/Region,"50, 51",DRD2015-10,True,,
DRD,2019,IR,"Bursaries, Community",[],"Financial support for youth to pursue higher education, including support for students who have graduated and passed professional exams.",,,Operating,"2019, 2018","539239, ZAR, invested in 2019; 640965, ZAR, invested in 2018",,Bursaries (Financial Support),", , , ",District/Province/Region,"50, 51",DRD2015-14,True,,
DRD,2019,IR,"Learnerships, Community","Artisan training for youth, Community; Trade test completion assistance, Community","Provision of artisan training and learnerships for youth, and assistance for community members to complete trade tests and obtain national certificates.",,,Operating.Operating,"2019, 2018","2098207, ZAR, invested in 2019; 3338059, ZAR, invested in 2018",,Community Training: Post-School.Community Training: Post-School,", , , ",District/Province/Region,"50, 51",DRD2011-1,True,,
DRD,2019,IR,"Wits School of Chemical and Metallurgical Engineering partnership, Braamfontein, Johannesburg","Funding for metallurgical research projects, Braamfontein, Johannesburg; Research on improving gold recoveries and treatment of lower grade material, Braamfontein, Johannesburg","Partnership with Wits School of Chemical and Metallurgical Engineering to fund metallurgical research, including projects to improve gold recoveries and treat lower grade material.",,Wits School of Chemical and Metallurgical Engineering,Operating.Operating,"2019, 2018, 2017","1200000, ZAR, invested in 2019; 1200000, ZAR, invested in 2018",,Other.Other,", Braamfontein, Johannesburg, Gauteng",Village/Town,"49, 51",DRD2019-8,False,-26.1952602,28.0337497
DRD,2019,IR,"Corporate social investment programme, Johannesburg and Ekurhuleni municipalities",[],Corporate social investment initiatives benefiting communities surrounding operations within the Johannesburg and Ekurhuleni municipalities.,,,Operating,"2019, 2018","266612, ZAR, invested in 2019; 370144, ZAR, invested in 2018",,Other,", , Johannesburg, Gauteng. , , Ekurhuleni, Gauteng",Municipality.Municipality,51,DRD2019-9,False,-26.205647,28.0337185
